test_image,response,resptime
./img_out/final_20_12_7_4/nature_3_r.jpeg,3,11.625858
./img_out/final_20_12_7_4/portrait_9_4.jpeg,1,2.923329
./img_out/final_20_12_7_4/art_6_20.jpeg,3,2.622191
./img_out/final_20_12_7_4/art_9_12.jpeg,2,2.62999
./img_out/final_20_12_7_4/nature_10_7.jpeg,2,2.831312
./img_out/final_20_12_7_4/nautre_9_r.jpeg,3,1.492401
./img_out/final_20_12_7_4/art_5.jpeg,4,5.104818
./img_out/final_20_12_7_4/nature_2_7.jpeg,2,1.599911
./img_out/final_20_12_7_4/portrait_4_r_4.jpeg,1,1.162956
./img_out/final_20_12_7_4/nautre_8_7.jpeg,3,1.797694
./img_out/final_20_12_7_4/nature_3.jpeg,4,2.894465
./img_out/final_20_12_7_4/portrait_8_4.jpeg,2,1.351465
./img_out/final_20_12_7_4/nature_2_r_20.jpeg,3,2.651892
./img_out/final_20_12_7_4/nautre_9_r_20.jpeg,3,2.699183
./img_out/final_20_12_7_4/art_9_r_7.jpeg,2,1.193164
./img_out/final_20_12_7_4/portrait_3_r_12.jpeg,3,2.959494
./img_out/final_20_12_7_4/portrait_1_12.jpeg,3,1.634512
./img_out/final_20_12_7_4/portrait_2_4.jpeg,2,1.001981
./img_out/final_20_12_7_4/portrait_6_r_7.jpeg,2,1.079321
./img_out/final_20_12_7_4/art_3_r_7.jpeg,1,1.574267
./img_out/final_20_12_7_4/nature_1_r_20.jpeg,2,2.163666
./img_out/final_20_12_7_4/nautre_8_r_20.jpeg,3,1.327248
./img_out/final_20_12_7_4/portrait_2_7.jpeg,5,4.408395
./img_out/final_20_12_7_4/portrait_9_r_20.jpeg,3,7.94793
./img_out/final_20_12_7_4/nature_1_r_12.jpeg,4,1.398013
./img_out/final_20_12_7_4/art_9_20.jpeg,4,1.391553
./img_out/final_20_12_7_4/nature_2_4.jpeg,2,1.087863
./img_out/final_20_12_7_4/portrait_10_7.jpeg,3,1.299144
./img_out/final_20_12_7_4/portrait_1_20.jpeg,4,1.332227
./img_out/final_20_12_7_4/art_7_12.jpeg,4,1.605969
./img_out/final_20_12_7_4/portrait_6_12.jpeg,3,2.473181
./img_out/final_20_12_7_4/nature_3_20.jpeg,4,1.565824
./img_out/final_20_12_7_4/nautre_8_r.jpeg,4,1.384917
./img_out/final_20_12_7_4/nature_5_7.jpeg,3,2.122404
./img_out/final_20_12_7_4/portrait_2.jpeg,5,1.384261
./img_out/final_20_12_7_4/nature_7_r_7.jpeg,2,2.200495
./img_out/final_20_12_7_4/portrait_6_4.jpeg,2,0.742957
./img_out/final_20_12_7_4/portrait_8_20.jpeg,5,3.351048
./img_out/final_20_12_7_4/portrait_7_4.jpeg,1,2.086763
./img_out/final_20_12_7_4/art_8_r_7.jpeg,2,1.616351
./img_out/final_20_12_7_4/nature_4_4.jpeg,2,0.964123
./img_out/final_20_12_7_4/art_2_r_20.jpeg,4,5.334352
./img_out/final_20_12_7_4/art_7_r_12.jpeg,4,1.647392
./img_out/final_20_12_7_4/art_1_r_4.jpeg,4,1.66096
./img_out/final_20_12_7_4/nautre_9_12.jpeg,4,1.987192
./img_out/final_20_12_7_4/nature_3_r_20.jpeg,4,0.871507
./img_out/final_20_12_7_4/art_9_r_12.jpeg,4,1.654359
./img_out/final_20_12_7_4/portrait_7_7.jpeg,3,2.777251
./img_out/final_20_12_7_4/nature_6_r.jpeg,4,2.820892
./img_out/final_20_12_7_4/nature_7_4.jpeg,1,1.880111
./img_out/final_20_12_7_4/art_7_20.jpeg,3,1.331144
./img_out/final_20_12_7_4/portrait_5_7.jpeg,2,1.119637
./img_out/final_20_12_7_4/nature_2_r_7.jpeg,1,1.471654
./img_out/final_20_12_7_4/nature_10_4.jpeg,1,1.231583
./img_out/final_20_12_7_4/portrait_2_12.jpeg,5,2.061017
./img_out/final_20_12_7_4/portrait_5_4.jpeg,1,2.007542
./img_out/final_20_12_7_4/art_1_12.jpeg,5,1.45282
./img_out/final_20_12_7_4/nautre_8_4.jpeg,2,1.515457
./img_out/final_20_12_7_4/nature_3_r_4.jpeg,2,0.887559
./img_out/final_20_12_7_4/nature_10.jpeg,4,2.541724
./img_out/final_20_12_7_4/art_5_20.jpeg,4,2.588512
./img_out/final_20_12_7_4/art_10_20.jpeg,5,1.524496
./img_out/final_20_12_7_4/art_2_r_7.jpeg,4,1.261551
./img_out/final_20_12_7_4/portrait_9_20.jpeg,4,1.472796
./img_out/final_20_12_7_4/art_5_4.jpeg,2,1.37013
./img_out/final_20_12_7_4/art_6_7.jpeg,2,6.893393
./img_out/final_20_12_7_4/portrait_2_r_7.jpeg,4,3.522311
./img_out/final_20_12_7_4/portrait_3_r_4.jpeg,2,2.038231
./img_out/final_20_12_7_4/art_4_r_12.jpeg,4,1.941887
./img_out/final_20_12_7_4/portrait_4.jpeg,4,3.89148
./img_out/final_20_12_7_4/portrait_2_r_12.jpeg,4,3.261693
./img_out/final_20_12_7_4/portrait_9_r_7.jpeg,2,1.561871
./img_out/final_20_12_7_4/nature_6_7.jpeg,3,1.564779
./img_out/final_20_12_7_4/art_3_7.jpeg,2,2.304105
./img_out/final_20_12_7_4/portrait_2_r_4.jpeg,1,1.172426
./img_out/final_20_12_7_4/art_10_r_20.jpeg,4,3.687933
./img_out/final_20_12_7_4/art_6_r_7.jpeg,3,2.143486
./img_out/final_20_12_7_4/art_2.jpeg,3,1.254825
./img_out/final_20_12_7_4/nautre_9_4.jpeg,3,2.304285
./img_out/final_20_12_7_4/portrait_3_20.jpeg,5,1.782356
./img_out/final_20_12_7_4/nature_10_r_20.jpeg,4,3.978612
./img_out/final_20_12_7_4/nature_6_r_4.jpeg,2,1.390906
./img_out/final_20_12_7_4/nature_1_r.jpeg,2,3.48436
./img_out/final_20_12_7_4/portrait_9_r_4.jpeg,1,1.858913
./img_out/final_20_12_7_4/portrait_8_r_7.jpeg,2,1.062657
./img_out/final_20_12_7_4/art_7_4.jpeg,1,1.18418
./img_out/final_20_12_7_4/art_4_12.jpeg,5,2.104112
./img_out/final_20_12_7_4/portrait_10_r_12.jpeg,5,1.078139
./img_out/final_20_12_7_4/portrait_3_4.jpeg,3,3.01707
./img_out/final_20_12_7_4/nature_7_r_12.jpeg,4,3.458871
./img_out/final_20_12_7_4/nature_5_r_12.jpeg,5,1.49318
./img_out/final_20_12_7_4/art_1_r_7.jpeg,5,1.062635
./img_out/final_20_12_7_4/portrait_1_r_4.jpeg,2,1.138143
./img_out/final_20_12_7_4/nature_7_12.jpeg,4,1.688303
./img_out/final_20_12_7_4/portrait_6_20.jpeg,4,1.909674
./img_out/final_20_12_7_4/art_10_7.jpeg,3,3.168255
./img_out/final_20_12_7_4/portrait_4_r_12.jpeg,3,1.042867
./img_out/final_20_12_7_4/nature_3_7.jpeg,3,1.62389
./img_out/final_20_12_7_4/art_7_r.jpeg,3,4.122047
./img_out/final_20_12_7_4/portrait_9_r.jpeg,5,1.29836
./img_out/final_20_12_7_4/portrait_10_4.jpeg,2,1.174406
./img_out/final_20_12_7_4/nature_7_20.jpeg,5,1.29353
./img_out/final_20_12_7_4/nature_4_7.jpeg,3,2.315176
./img_out/final_20_12_7_4/art_4_r_20.jpeg,5,2.674149
./img_out/final_20_12_7_4/art_5_r_20.jpeg,2,1.391903
./img_out/final_20_12_7_4/nature_1.jpeg,5,1.390403
./img_out/final_20_12_7_4/nautre_9_r_4.jpeg,2,1.769019
./img_out/final_20_12_7_4/art_7_r_7.jpeg,2,1.49433
./img_out/final_20_12_7_4/portrait_4_12.jpeg,1,1.446347
./img_out/final_20_12_7_4/nature_3_12.jpeg,3,1.662768
./img_out/final_20_12_7_4/art_2_r.jpeg,3,0.875714
./img_out/final_20_12_7_4/portrait_3_r_20.jpeg,5,1.019938
./img_out/final_20_12_7_4/nature_5_r_4.jpeg,2,1.333974
./img_out/final_20_12_7_4/art_6_r_20.jpeg,5,2.341689
./img_out/final_20_12_7_4/portrait_5_r.jpeg,5,1.511153
./img_out/final_20_12_7_4/art_1.jpeg,5,0.979645
./img_out/final_20_12_7_4/portrait_8_7.jpeg,2,1.807944
./img_out/final_20_12_7_4/nature_10_r_12.jpeg,3,1.49173
./img_out/final_20_12_7_4/nature_7_r.jpeg,4,1.74909
./img_out/final_20_12_7_4/portrait_2_20.jpeg,5,1.955503
./img_out/final_20_12_7_4/nature_5_r.jpeg,5,1.842436
./img_out/final_20_12_7_4/art_3_r_4.jpeg,1,1.477827
./img_out/final_20_12_7_4/art_4_4.jpeg,2,1.57269
./img_out/final_20_12_7_4/art_7_r_20.jpeg,3,1.336898
./img_out/final_20_12_7_4/art_2_r_4.jpeg,2,1.194388
./img_out/final_20_12_7_4/portrait_10_r_20.jpeg,3,1.498293
./img_out/final_20_12_7_4/portrait_2_r.jpeg,2,2.51032
./img_out/final_20_12_7_4/portrait_3_r_7.jpeg,2,2.118429
./img_out/final_20_12_7_4/art_10_12.jpeg,2,1.868436
./img_out/final_20_12_7_4/art_8_r_20.jpeg,5,1.323256
./img_out/final_20_12_7_4/portrait_10_20.jpeg,2,1.058904
./img_out/final_20_12_7_4/art_3_4.jpeg,2,1.094373
./img_out/final_20_12_7_4/art_4_r_7.jpeg,4,2.028274
./img_out/final_20_12_7_4/nature_6_r_20.jpeg,4,1.399432
./img_out/final_20_12_7_4/nature_4_r_4.jpeg,3,1.692929
./img_out/final_20_12_7_4/art_9_r_4.jpeg,1,1.515233
./img_out/final_20_12_7_4/art_10_r.jpeg,2,1.004226
./img_out/final_20_12_7_4/nature_7_7.jpeg,2,1.277262
./img_out/final_20_12_7_4/portrait_7_r_12.jpeg,3,1.388373
./img_out/final_20_12_7_4/nature_1_7.jpeg,2,2.570763
./img_out/final_20_12_7_4/portrait_1_r.jpeg,4,2.003957
./img_out/final_20_12_7_4/nature_2.jpeg,4,1.577074
./img_out/final_20_12_7_4/art_9_r.jpeg,4,1.621306
./img_out/final_20_12_7_4/art_4_7.jpeg,3,1.899959
./img_out/final_20_12_7_4/nautre_9_7.jpeg,2,1.141832
./img_out/final_20_12_7_4/portrait_9_r_12.jpeg,2,1.464936
./img_out/final_20_12_7_4/nautre_8_r_12.jpeg,2,0.857236
./img_out/final_20_12_7_4/art_5_r_4.jpeg,1,1.132351
./img_out/final_20_12_7_4/nature_1_20.jpeg,3,2.034428
./img_out/final_20_12_7_4/portrait_5.jpeg,5,1.87251
./img_out/final_20_12_7_4/art_1_7.jpeg,4,2.245502
./img_out/final_20_12_7_4/art_4.jpeg,3,2.619968
./img_out/final_20_12_7_4/portrait_8_r_20.jpeg,5,1.415398
./img_out/final_20_12_7_4/nature_5_r_7.jpeg,3,1.578085
./img_out/final_20_12_7_4/art_1_r.jpeg,4,1.811949
./img_out/final_20_12_7_4/art_3_20.jpeg,3,1.902131
./img_out/final_20_12_7_4/nautre_9_20.jpeg,3,1.397764
./img_out/final_20_12_7_4/art_5_r_12.jpeg,3,1.55623
./img_out/final_20_12_7_4/art_2_7.jpeg,2,1.528634
./img_out/final_20_12_7_4/portrait_6_r_4.jpeg,1,1.122231
./img_out/final_20_12_7_4/portrait_4_r_20.jpeg,3,2.077676
./img_out/final_20_12_7_4/portrait_7.jpeg,3,0.805758
./img_out/final_20_12_7_4/art_8_4.jpeg,2,1.503864
./img_out/final_20_12_7_4/nature_10_r.jpeg,4,1.414397
./img_out/final_20_12_7_4/nature_1_12.jpeg,4,2.53819
./img_out/final_20_12_7_4/art_9.jpeg,4,0.980046
./img_out/final_20_12_7_4/nautre_8_12.jpeg,3,2.511212
./img_out/final_20_12_7_4/nature_10_r_7.jpeg,3,5.173737
./img_out/final_20_12_7_4/art_8.jpeg,3,1.490628
./img_out/final_20_12_7_4/nature_1_r_7.jpeg,3,1.284864
./img_out/final_20_12_7_4/portrait_7_r_4.jpeg,2,2.004629
./img_out/final_20_12_7_4/portrait_3_12.jpeg,4,1.163978
./img_out/final_20_12_7_4/art_5_r.jpeg,3,2.316981
./img_out/final_20_12_7_4/portrait_5_20.jpeg,4,1.510396
./img_out/final_20_12_7_4/portrait_6.jpeg,3,1.822696
./img_out/final_20_12_7_4/nature_2_20.jpeg,3,2.599446
./img_out/final_20_12_7_4/nature_3_4.jpeg,2,1.173445
./img_out/final_20_12_7_4/nautre_9.jpeg,4,2.744192
./img_out/final_20_12_7_4/art_3.jpeg,4,1.766495
./img_out/final_20_12_7_4/portrait_8_12.jpeg,4,2.549408
./img_out/final_20_12_7_4/art_6_r_12.jpeg,3,2.886956
./img_out/final_20_12_7_4/nature_3_r_12.jpeg,3,4.885856
./img_out/final_20_12_7_4/nautre_8_r_4.jpeg,3,1.037271
./img_out/final_20_12_7_4/art_1_4.jpeg,3,2.238829
./img_out/final_20_12_7_4/nature_1_r_4.jpeg,2,1.17658
./img_out/final_20_12_7_4/portrait_6_r.jpeg,4,1.630591
./img_out/final_20_12_7_4/art_10_r_12.jpeg,3,2.020804
./img_out/final_20_12_7_4/nature_5_12.jpeg,4,1.346138
./img_out/final_20_12_7_4/portrait_2_r_20.jpeg,4,2.217575
./img_out/final_20_12_7_4/art_6.jpeg,3,3.284057
./img_out/final_20_12_7_4/nature_2_r_4.jpeg,1,1.222749
./img_out/final_20_12_7_4/art_5_7.jpeg,1,1.053131
./img_out/final_20_12_7_4/nature_5_r_20.jpeg,3,1.518013
./img_out/final_20_12_7_4/art_7_r_4.jpeg,1,1.335732
./img_out/final_20_12_7_4/nature_6_4.jpeg,2,1.327158
./img_out/final_20_12_7_4/art_1_r_12.jpeg,3,1.428066
./img_out/final_20_12_7_4/nature_1_4.jpeg,2,1.251725
./img_out/final_20_12_7_4/portrait_10_12.jpeg,3,1.355739
./img_out/final_20_12_7_4/nautre_9_r_7.jpeg,3,1.237856
./img_out/final_20_12_7_4/nature_2_r_12.jpeg,2,1.0229
./img_out/final_20_12_7_4/art_8_r_4.jpeg,2,2.951999
./img_out/final_20_12_7_4/portrait_10.jpeg,3,1.366043
./img_out/final_20_12_7_4/portrait_5_r_4.jpeg,1,0.990374
./img_out/final_20_12_7_4/nature_4_20.jpeg,3,12.262308
./img_out/final_20_12_7_4/art_3_r.jpeg,2,3.368098
./img_out/final_20_12_7_4/portrait_10_r.jpeg,4,2.182811
./img_out/final_20_12_7_4/nautre_9_r_12.jpeg,4,0.960022
./img_out/final_20_12_7_4/nature_4_r_20.jpeg,4,0.935852
./img_out/final_20_12_7_4/art_3_12.jpeg,3,1.501686
./img_out/final_20_12_7_4/nature_2_r.jpeg,4,1.263213
./img_out/final_20_12_7_4/art_4_r_4.jpeg,3,1.161046
./img_out/final_20_12_7_4/portrait_6_r_12.jpeg,3,1.070429
./img_out/final_20_12_7_4/art_8_20.jpeg,3,0.791373
./img_out/final_20_12_7_4/portrait_1_r_20.jpeg,3,1.173361
./img_out/final_20_12_7_4/portrait_10_r_7.jpeg,3,0.88646
./img_out/final_20_12_7_4/art_1_r_20.jpeg,4,1.065037
./img_out/final_20_12_7_4/portrait_4_20.jpeg,3,0.865789
./img_out/final_20_12_7_4/portrait_1_4.jpeg,2,0.870642
./img_out/final_20_12_7_4/art_7_7.jpeg,1,0.903705
./img_out/final_20_12_7_4/portrait_7_r_20.jpeg,3,2.66145
./img_out/final_20_12_7_4/nature_7.jpeg,3,0.879569
./img_out/final_20_12_7_4/art_3_r_20.jpeg,3,1.130405
./img_out/final_20_12_7_4/art_8_r.jpeg,4,1.324122
./img_out/final_20_12_7_4/art_10_4.jpeg,2,1.214775
./img_out/final_20_12_7_4/portrait_1_7.jpeg,2,1.118657
./img_out/final_20_12_7_4/portrait_4_7.jpeg,1,1.039711
./img_out/final_20_12_7_4/nature_6_20.jpeg,3,1.358741
./img_out/final_20_12_7_4/art_4_r.jpeg,4,3.348847
./img_out/final_20_12_7_4/nature_10_12.jpeg,3,1.277708
./img_out/final_20_12_7_4/nature_5.jpeg,3,1.107418
./img_out/final_20_12_7_4/art_2_4.jpeg,2,1.187957
./img_out/final_20_12_7_4/portrait_7_r_7.jpeg,2,1.747037
./img_out/final_20_12_7_4/art_6_4.jpeg,2,0.827502
./img_out/final_20_12_7_4/art_8_12.jpeg,3,1.200227
./img_out/final_20_12_7_4/nautre_8_20.jpeg,3,0.85317
./img_out/final_20_12_7_4/nature_4_12.jpeg,3,1.0412
./img_out/final_20_12_7_4/nature_6.jpeg,3,2.031036
./img_out/final_20_12_7_4/portrait_3.jpeg,3,1.040492
./img_out/final_20_12_7_4/portrait_8.jpeg,4,1.037501
./img_out/final_20_12_7_4/art_10_r_4.jpeg,2,2.555342
./img_out/final_20_12_7_4/nautre_8_r_7.jpeg,2,0.961187
./img_out/final_20_12_7_4/art_7.jpeg,3,2.231809
./img_out/final_20_12_7_4/art_6_r_4.jpeg,2,1.270066
./img_out/final_20_12_7_4/portrait_3_7.jpeg,2,2.110886
./img_out/final_20_12_7_4/art_2_r_12.jpeg,3,1.308352
./img_out/final_20_12_7_4/nature_5_4.jpeg,1,2.470438
./img_out/final_20_12_7_4/nature_7_r_4.jpeg,1,0.991262
./img_out/final_20_12_7_4/portrait_5_r_20.jpeg,3,1.309846
./img_out/final_20_12_7_4/nature_3_r_7.jpeg,2,1.460817
./img_out/final_20_12_7_4/portrait_6_r_20.jpeg,3,3.451698
./img_out/final_20_12_7_4/portrait_7_r.jpeg,3,0.597396
./img_out/final_20_12_7_4/nature_4_r_7.jpeg,2,0.980191
./img_out/final_20_12_7_4/nature_10_r_4.jpeg,1,1.253616
./img_out/final_20_12_7_4/art_8_r_12.jpeg,1,1.365219
./img_out/final_20_12_7_4/portrait_10_r_4.jpeg,1,1.389374
./img_out/final_20_12_7_4/art_2_20.jpeg,2,0.986645
./img_out/final_20_12_7_4/portrait_5_12.jpeg,2,1.030193
./img_out/final_20_12_7_4/portrait_4_r_7.jpeg,1,1.123454
./img_out/final_20_12_7_4/portrait_3_r.jpeg,3,1.616864
./img_out/final_20_12_7_4/art_9_4.jpeg,1,0.990715
./img_out/final_20_12_7_4/portrait_8_r.jpeg,4,1.470959
./img_out/final_20_12_7_4/art_10.jpeg,3,2.510112
./img_out/final_20_12_7_4/portrait_1_r_12.jpeg,3,1.263984
./img_out/final_20_12_7_4/art_1_20.jpeg,2,3.776396
./img_out/final_20_12_7_4/art_3_r_12.jpeg,2,1.444408
./img_out/final_20_12_7_4/portrait_4_r.jpeg,2,1.759504
./img_out/final_20_12_7_4/portrait_1_r_7.jpeg,2,0.718845
./img_out/final_20_12_7_4/art_10_r_7.jpeg,1,0.9911
./img_out/final_20_12_7_4/art_5_12.jpeg,1,0.992348
./img_out/final_20_12_7_4/portrait_9_12.jpeg,2,1.46831
./img_out/final_20_12_7_4/art_9_r_20.jpeg,3,2.067843
./img_out/final_20_12_7_4/portrait_7_12.jpeg,4,1.606907
./img_out/final_20_12_7_4/portrait_5_r_12.jpeg,3,1.570234
./img_out/final_20_12_7_4/art_5_r_7.jpeg,1,1.816818
./img_out/final_20_12_7_4/portrait_6_7.jpeg,1,0.783411
./img_out/final_20_12_7_4/art_6_r.jpeg,5,1.42273
./img_out/final_20_12_7_4/portrait_4_4.jpeg,1,1.04232
./img_out/final_20_12_7_4/portrait_9.jpeg,5,1.962491
./img_out/final_20_12_7_4/nature_6_12.jpeg,3,2.142854
./img_out/final_20_12_7_4/nature_2_12.jpeg,2,1.646933
./img_out/final_20_12_7_4/art_8_7.jpeg,1,1.135503
./img_out/final_20_12_7_4/nature_10_20.jpeg,3,1.822305
./img_out/final_20_12_7_4/art_2_12.jpeg,3,1.434481
./img_out/final_20_12_7_4/nature_4.jpeg,4,1.677643
./img_out/final_20_12_7_4/portrait_8_r_4.jpeg,1,1.462839
./img_out/final_20_12_7_4/art_9_7.jpeg,2,1.471005
./img_out/final_20_12_7_4/portrait_7_20.jpeg,4,1.406654
./img_out/final_20_12_7_4/nature_5_20.jpeg,5,3.006508
./img_out/final_20_12_7_4/art_6_12.jpeg,1,1.324712
./img_out/final_20_12_7_4/portrait_8_r_12.jpeg,2,6.256661
./img_out/final_20_12_7_4/nautre_8.jpeg,2,1.652682
./img_out/final_20_12_7_4/nature_6_r_12.jpeg,2,1.340291
./img_out/final_20_12_7_4/nature_4_r.jpeg,3,2.238462
./img_out/final_20_12_7_4/portrait_5_r_7.jpeg,2,1.538112
./img_out/final_20_12_7_4/portrait_1.jpeg,4,1.176228
./img_out/final_20_12_7_4/art_4_20.jpeg,4,2.685812
./img_out/final_20_12_7_4/portrait_9_7.jpeg,2,1.584574
./img_out/final_20_12_7_4/nature_6_r_7.jpeg,2,1.895235
./img_out/final_20_12_7_4/nature_7_r_20.jpeg,3,1.435076
./img_out/final_20_12_7_4/nature_4_r_12.jpeg,3,0.831064
